CustomerID,SimilarCustomerID,Score
C0001,C0069,0.9993289015040403
C0001,C0154,0.9970344086605432
C0001,C0181,0.9967116880893808
C0002,C0029,0.9999779985306463
C0002,C0088,0.9960203671461066
C0002,C0062,0.9958309055252705
C0003,C0178,0.9979288188044522
C0003,C0038,0.9965444123271779
C0003,C0189,0.9960368918849791
C0004,C0017,0.9990949035631695
C0004,C0101,0.9990242826597908
C0004,C0173,0.9975105384375382
C0005,C0120,0.9993878688167759
C0005,C0186,0.99874464399782
C0005,C0192,0.9964497450131964
C0006,C0117,0.9987221523730043
C0006,C0135,0.9962830912829246
C0006,C0125,0.9959248311706238
C0007,C0115,0.9980376817569748
C0007,C0050,0.9976598802069614
C0007,C0186,0.9972057917143318
C0008,C0113,0.9919070626947499
C0008,C0065,0.98066727407164
C0008,C0124,0.9804526873742774
C0009,C0061,0.9949265659504261
C0009,C0198,0.9914746452276593
C0009,C0129,0.9908444530954604
C0010,C0029,0.994568680379704
C0010,C0002,0.9943307396339125
C0010,C0111,0.9939617304918413
C0011,C0064,0.9997585864874841
C0011,C0137,0.999584615752592
C0011,C0191,0.9985412795507982
C0012,C0124,0.9979711010917406
C0012,C0163,0.9958845220938384
C0012,C0195,0.9947987273462879
C0013,C0099,0.9975847162410982
C0013,C0143,0.9975004409586699
C0013,C0145,0.9963332753071533
C0014,C0097,0.9988418162265524
C0014,C0110,0.9875050271361745
C0014,C0151,0.9756982796848629
C0015,C0123,0.9929373240508457
C0015,C0131,0.9919781055040866
C0015,C0085,0.9908024830065734
C0016,C0056,0.9927090492847048
C0016,C0107,0.9925524330976438
C0016,C0103,0.991229438441164
C0017,C0004,0.9990949035631695
C0017,C0101,0.996898412348295
C0017,C0075,0.9965641871278318
C0018,C0153,0.9972161711820299
C0018,C0057,0.9970029892055651
C0018,C0064,0.9960742928823261
C0019,C0047,0.9965968314635882
C0019,C0174,0.9951919128002317
C0019,C0116,0.9950584064776138
C0020,C0130,0.999604261569728
C0020,C0140,0.9924683843203091
C0020,C0186,0.9836352094964975
